Contract Name 	Last Trade Date (EDT) 	Strike 	Last Price 	Bid 	Ask 	Change 	% Change 	Volume 	Open Interest 	Implied Volatility
SPY250912C00375000 	8/18/2025 2:57 PM 	375 	269.50 	270.21 	272.89 	0.00 	0.00% 	- 	0 	126.37%
SPY250912C00400000 	8/8/2025 11:39 AM 	400 	237.08 	245.27 	247.94 	0.00 	0.00% 	7 	7 	113.82%
SPY250912C00420000 	8/15/2025 9:54 AM 	420 	225.52 	226.52 	227.97 	0.00 	0.00% 	- 	149 	110.74%
SPY250912C00425000 	8/14/2025 2:39 PM 	425 	221.14 	220.34 	223.03 	0.00 	0.00% 	- 	1 	102.12%
SPY250912C00430000 	8/15/2025 11:57 AM 	430 	215.34 	215.36 	218.03 	0.00 	0.00% 	- 	2 	99.78%
SPY250912C00435000 	8/15/2025 9:52 AM 	435 	210.73 	210.37 	213.04 	0.00 	0.00% 	- 	3 	97.44%
SPY250912C00450000 	8/11/2025 9:30 AM 	450 	189.74 	195.42 	198.10 	0.00 	0.00% 	1 	0 	90.80%
SPY250912C00475000 	8/5/2025 12:01 PM 	475 	155.99 	170.50 	173.18 	0.00 	0.00% 	- 	0 	79.86%
SPY250912C00480000 	8/26/2025 3:14 PM 	480 	164.80 	165.52 	168.20 	-2.29 	-1.37% 	2 	1 	77.73%
SPY250912C00485000 	8/22/2025 10:50 AM 	485 	162.20 	160.53 	163.22 	0.00 	0.00% 	3 	3 	75.59%
SPY250912C00490000 	8/22/2025 2:21 PM 	490 	157.00 	155.55 	158.24 	0.00 	0.00% 	1 	1 	73.49%
SPY250912C00495000 	8/22/2025 2:12 PM 	495 	152.05 	150.57 	153.26 	0.00 	0.00% 	2 	2 	71.39%
SPY250912C00500000 	8/22/2025 1:11 PM 	500 	147.00 	145.59 	148.28 	0.00 	0.00% 	26 	31 	69.30%
SPY250912C00505000 	8/18/2025 3:37 PM 	505 	139.48 	140.61 	143.31 	-0.86 	-0.61% 	1 	2 	67.25%
SPY250912C00510000 	8/22/2025 12:12 PM 	510 	137.12 	135.63 	138.32 	0.00 	0.00% 	2 	3 	65.14%
SPY250912C00515000 	8/22/2025 1:45 PM 	515 	132.51 	130.65 	133.34 	0.00 	0.00% 	18 	20 	63.06%
SPY250912C00520000 	8/21/2025 10:06 AM 	520 	119.00 	125.68 	128.36 	0.00 	0.00% 	- 	2 	61.02%
SPY250912C00525000 	8/22/2025 12:11 PM 	525 	122.21 	120.70 	123.38 	0.00 	0.00% 	1 	1 	58.95%
SPY250912C00530000 	8/22/2025 1:17 PM 	530 	116.98 	115.72 	118.41 	0.00 	0.00% 	1 	17 	56.91%
SPY250912C00535000 	8/22/2025 3:57 PM 	535 	111.54 	110.74 	113.43 	0.00 	0.00% 	2 	6 	54.85%
SPY250912C00540000 	8/25/2025 12:36 PM 	540 	103.53 	106.94 	107.42 	-2.94 	-2.76% 	1 	163 	53.22%
SPY250912C00545000 	8/25/2025 9:32 AM 	545 	100.33 	100.79 	103.48 	0.00 	0.00% 	1 	3 	50.77%
SPY250912C00550000 	8/26/2025 2:21 PM 	550 	94.81 	95.81 	98.51 	-2.92 	-2.99% 	1 	7 	55.38%
SPY250912C00555000 	8/26/2025 1:38 PM 	555 	89.90 	90.84 	93.54 	-0.89 	-0.98% 	1 	6 	53.13%
SPY250912C00560000 	8/26/2025 2:57 PM 	560 	85.07 	87.18 	87.33 	-1.53 	-1.77% 	5 	25 	45.24%
SPY250912C00565000 	8/25/2025 10:38 AM 	565 	81.00 	82.21 	82.36 	0.00 	0.00% 	2 	11 	43.18%
SPY250912C00570000 	8/22/2025 3:32 PM 	570 	76.95 	77.25 	77.39 	0.00 	0.00% 	1 	1,542 	41.10%
