Contract Name 	Last Trade Date (EDT) 	Strike 	Last Price 	Bid 	Ask 	Change 	% Change 	Volume 	Open Interest 	Implied Volatility
SPY250912P00375000 	8/26/2025 10:16 AM 	375 	0.02 	0.01 	0.02 	0.01 	100.00% 	2 	56 	76.56%
SPY250912P00380000 	8/26/2025 4:01 PM 	380 	0.03 	0.01 	0.02 	-0.01 	-25.00% 	30 	200 	74.22%
SPY250912P00385000 	8/26/2025 3:45 PM 	385 	0.02 	0.02 	0.03 	0.01 	100.00% 	100 	300 	75.78%
SPY250912P00390000 	8/22/2025 1:14 PM 	390 	0.02 	0.02 	0.03 	0.00 	0.00% 	15 	726 	74.22%
SPY250912P00395000 	8/26/2025 12:11 PM 	395 	0.02 	0.02 	0.03 	-0.03 	-60.00% 	100 	3 	72.27%
SPY250912P00400000 	8/25/2025 4:14 PM 	400 	0.02 	0.02 	0.03 	0.00 	0.00% 	130 	925 	70.31%
SPY250912P00405000 	8/25/2025 4:10 PM 	405 	0.02 	0.02 	0.03 	0.00 	0.00% 	2 	12 	68.75%
SPY250912P00410000 	8/25/2025 9:53 AM 	410 	0.02 	0.02 	0.03 	0.00 	0.00% 	5 	292 	67.19%
SPY250912P00415000 	8/26/2025 3:56 PM 	415 	0.03 	0.02 	0.03 	-0.02 	-40.00% 	14 	356 	65.23%
SPY250912P00420000 	8/26/2025 2:57 PM 	420 	0.04 	0.03 	0.04 	0.02 	100.00% 	1 	173 	65.63%
SPY250912P00425000 	8/26/2025 1:31 PM 	425 	0.03 	0.03 	0.04 	0.00 	0.00% 	116 	21 	64.06%
SPY250912P00430000 	8/22/2025 10:03 AM 	430 	0.05 	0.03 	0.04 	0.00 	0.00% 	15 	20 	62.31%
SPY250912P00435000 	8/26/2025 3:59 PM 	435 	0.04 	0.03 	0.04 	0.01 	33.33% 	4 	275 	60.55%
SPY250912P00440000 	8/26/2025 1:47 PM 	440 	0.05 	0.04 	0.05 	0.00 	0.00% 	1 	328 	60.35%
SPY250912P00445000 	8/26/2025 11:44 AM 	445 	0.05 	0.04 	0.05 	0.02 	66.67% 	17 	3 	58.59%
SPY250912P00450000 	8/25/2025 2:52 PM 	450 	0.05 	0.04 	0.05 	0.00 	0.00% 	2 	512 	57.03%
SPY250912P00455000 	8/25/2025 1:52 PM 	455 	0.06 	0.05 	0.06 	0.02 	50.00% 	1 	942 	56.45%
SPY250912P00460000 	8/26/2025 1:47 PM 	460 	0.05 	0.05 	0.06 	-0.01 	-16.67% 	1 	231 	54.88%
SPY250912P00465000 	8/26/2025 1:48 PM 	465 	0.07 	0.05 	0.06 	-0.04 	-36.36% 	37 	135 	53.32%
SPY250912P00470000 	8/25/2025 9:38 AM 	470 	0.06 	0.06 	0.07 	0.01 	20.00% 	2 	326 	52.54%
SPY250912P00475000 	8/26/2025 1:49 PM 	475 	0.08 	0.06 	0.07 	0.02 	33.33% 	10 	92 	50.98%
SPY250912P00480000 	8/26/2025 2:23 PM 	480 	0.08 	0.07 	0.08 	0.01 	14.29% 	3 	414 	50.10%
SPY250912P00485000 	8/26/2025 3:22 PM 	485 	0.08 	0.08 	0.09 	-0.06 	-42.86% 	11 	68 	49.41%
SPY250912P00490000 	8/26/2025 3:23 PM 	490 	0.09 	0.08 	0.09 	0.02 	28.57% 	75 	369 	47.85%
SPY250912P00495000 	8/26/2025 2:24 PM 	495 	0.10 	0.09 	0.10 	-0.01 	-9.09% 	1 	457 	46.78%
SPY250912P00500000 	8/26/2025 4:12 PM 	500 	0.11 	0.10 	0.11 	0.01 	10.00% 	118 	1,214 	45.61%
SPY250912P00505000 	8/25/2025 11:37 AM 	505 	0.11 	0.10 	0.11 	0.01 	10.00% 	4 	2,250 	44.04%
SPY250912P00510000 	8/26/2025 1:50 PM 	510 	0.13 	0.11 	0.12 	0.03 	30.00% 	560 	1,254 	42.87%
SPY250912P00515000 	8/26/2025 3:01 PM 	515 	0.13 	0.12 	0.13 	0.01 	8.33% 	3 	1,213 	41.65%
SPY250912P00520000 	8/26/2025 1:50 PM 	520 	0.13 	0.13 	0.14 	0.02 	18.18% 	216 	366 	40.43%
SPY250912P00525000 	8/26/2025 2:24 PM 	525 	0.15 	0.14 	0.15 	0.01 	7.14% 	144 	603 	39.16%
SPY250912P00530000 	8/26/2025 10:06 AM 	530 	0.15 	0.15 	0.16 	0.02 	15.38% 	476 	249 	37.84%
SPY250912P00535000 	8/26/2025 2:32 PM 	535 	0.17 	0.16 	0.17 	0.01 	6.25% 	1 	751 	36.52%
SPY250912P00540000 	8/26/2025 3:20 PM 	540 	0.19 	0.17 	0.18 	0.04 	26.67% 	34 	1,638 	35.16%
SPY250912P00545000 	8/26/2025 3:54 PM 	545 	0.20 	0.18 	0.19 	0.00 	0.00% 	23 	1,578 	33.79%
SPY250912P00550000 	8/26/2025 3:01 PM 	550 	0.21 	0.19 	0.21 	0.01 	5.00% 	18 	1,636 	32.64%
SPY250912P00555000 	8/26/2025 4:10 PM 	555 	0.22 	0.22 	0.23 	-0.01 	-4.35% 	36 	1,133 	31.42%
SPY250912P00560000 	8/26/2025 10:27 AM 	560 	0.25 	0.23 	0.24 	0.05 	25.00% 	23 	776 	29.98%
SPY250912P00565000 	8/26/2025 3:29 PM 	565 	0.27 	0.25 	0.26 	0.03 	12.50% 	131 	2,268 	28.66%
SPY250912P00570000 	8/26/2025 12:08 PM 	570 	0.28 	0.27 	0.28 	-0.01 	-3.45% 	438 	4,115 	27.34%
SPY250912P00575000 	8/26/2025 3:23 PM 	575 	0.32 	0.29 	0.30 	0.02 	6.67% 	8 	1,339 	25.95%
SPY250912P00580000 	8/26/2025 12:03 PM 	580 	0.34 	0.32 	0.33 	0.00 	0.00% 	43 	2,351 	24.66%
SPY250912P00585000 	8/26/2025 1:13 PM 	585 	0.38 	0.35 	0.36 	0.00 	0.00% 	75 	1,153 	23.32%
SPY250912P00590000 	8/26/2025 3:01 PM 	590 	0.43 	0.39 	0.40 	-0.01 	-2.27% 	73 	2,421 	22.00%
SPY250912P00595000 	8/26/2025 4:14 PM 	595 	0.45 	0.44 	0.45 	-0.06 	-11.76% 	41 	2,247 	20.72%
SPY250912P00600000 	8/26/2025 4:09 PM 	600 	0.53 	0.51 	0.52 	-0.06 	-10.17% 	1,538 	6,058 	19.48%
SPY250912P00605000 	8/26/2025 4:14 PM 	605 	0.63 	0.60 	0.62 	-0.10 	-13.70% 	249 	48,805 	18.32%
SPY250912P00608000 	8/26/2025 4:14 PM 	608 	0.70 	0.68 	0.69 	-0.08 	-10.26% 	32 	1,322 	17.60%
SPY250912P00609000 	8/25/2025 2:32 PM 	609 	0.74 	0.71 	0.72 	0.00 	0.00% 	5 	561 	17.40%
SPY250912P00610000 	8/26/2025 4:07 PM 	610 	0.77 	0.74 	0.75 	-0.13 	-14.44% 	129 	33,724 	17.16%
SPY250912P00611000 	8/26/2025 4:07 PM 	611 	0.82 	0.77 	0.79 	-0.15 	-15.46% 	1 	486 	16.98%
SPY250912P00612000 	8/26/2025 10:03 AM 	612 	0.88 	0.81 	0.82 	-0.12 	-12.00% 	9 	1,470 	16.74%
SPY250912P00613000 	8/26/2025 4:09 PM 	613 	0.88 	0.85 	0.86 	-0.17 	-16.19% 	37 	697 	16.53%
SPY250912P00614000 	8/26/2025 2:46 PM 	614 	1.07 	0.89 	0.90 	0.10 	10.31% 	6 	386 	16.32%
SPY250912P00615000 	8/26/2025 4:07 PM 	615 	0.97 	0.93 	0.95 	-0.24 	-19.83% 	250 	8,391 	16.13%
SPY250912P00616000 	8/26/2025 4:07 PM 	616 	1.02 	0.98 	1.00 	-0.10 	-8.93% 	265 	2,004 	15.93%
SPY250912P00617000 	8/26/2025 1:22 PM 	617 	1.10 	1.03 	1.05 	-0.18 	-14.06% 	16 	494 	15.72%
SPY250912P00618000 	8/26/2025 2:03 PM 	618 	1.37 	1.08 	1.10 	0.00 	0.00% 	32 	615 	15.50%
SPY250912P00619000 	8/26/2025 3:31 PM 	619 	1.28 	1.14 	1.16 	-0.14 	-9.86% 	6 	469 	15.30%
SPY250912P00620000 	8/26/2025 4:07 PM 	620 	1.25 	1.20 	1.22 	-0.28 	-18.30% 	2,700 	4,673 	15.09%
SPY250912P00621000 	8/26/2025 3:59 PM 	621 	1.35 	1.27 	1.28 	-0.07 	-4.93% 	7 	542 	14.86%
SPY250912P00622000 	8/26/2025 3:50 PM 	622 	1.50 	1.34 	1.35 	-0.17 	-10.18% 	136 	662 	14.66%
SPY250912P00623000 	8/26/2025 4:06 PM 	623 	1.49 	1.41 	1.43 	-0.32 	-17.68% 	109 	662 	14.47%
SPY250912P00624000 	8/26/2025 4:07 PM 	624 	1.55 	1.49 	1.51 	-0.30 	-16.22% 	72 	319 	14.26%
SPY250912P00625000 	8/26/2025 4:13 PM 	625 	1.61 	1.57 	1.59 	-0.43 	-21.08% 	764 	8,414 	14.03%
SPY250912P00626000 	8/26/2025 4:07 PM 	626 	1.74 	1.66 	1.68 	-0.34 	-16.35% 	64 	453 	13.82%
SPY250912P00627000 	8/26/2025 3:53 PM 	627 	1.89 	1.76 	1.78 	-0.21 	-10.00% 	76 	1,978 	13.62%
SPY250912P00628000 	8/26/2025 3:54 PM 	628 	2.08 	1.86 	1.88 	0.04 	1.96% 	40 	578 	13.40%
SPY250912P00629000 	8/26/2025 4:00 PM 	629 	2.12 	1.97 	1.99 	-0.38 	-15.20% 	221 	646 	13.18%
SPY250912P00630000 	8/26/2025 4:08 PM 	630 	2.15 	2.08 	2.10 	-0.49 	-18.56% 	1,326 	3,860 	12.95%
SPY250912P00631000 	8/26/2025 4:03 PM 	631 	2.36 	2.21 	2.23 	-0.43 	-15.41% 	19 	1,029 	12.74%
SPY250912P00632000 	8/26/2025 4:10 PM 	632 	2.40 	2.34 	2.36 	-0.63 	-20.79% 	211 	2,284 	12.51%
SPY250912P00633000 	8/26/2025 4:03 PM 	633 	2.64 	2.48 	2.50 	-0.52 	-16.46% 	474 	4,622 	12.28%
SPY250912P00634000 	8/26/2025 4:12 PM 	634 	2.67 	2.63 	2.65 	-0.64 	-19.34% 	335 	974 	12.05%
SPY250912P00635000 	8/26/2025 4:12 PM 	635 	2.85 	2.79 	2.82 	-0.69 	-19.49% 	1,028 	77,910 	11.84%
SPY250912P00636000 	8/26/2025 4:03 PM 	636 	3.16 	2.97 	2.99 	-0.61 	-16.18% 	227 	1,702 	11.60%
SPY250912P00637000 	8/26/2025 4:14 PM 	637 	3.17 	3.16 	3.18 	-0.86 	-21.34% 	188 	1,878 	11.37%
SPY250912P00638000 	8/26/2025 4:00 PM 	638 	3.60 	3.36 	3.39 	-0.67 	-15.69% 	230 	2,114 	11.15%
SPY250912P00639000 	8/26/2025 4:13 PM 	639 	3.62 	3.58 	3.61 	-0.93 	-20.44% 	244 	671 	10.92%
SPY250912P00640000 	8/26/2025 4:12 PM 	640 	3.87 	3.81 	3.84 	-0.99 	-20.37% 	1,088 	5,600 	10.67%
SPY250912P00641000 	8/26/2025 4:04 PM 	641 	4.29 	4.07 	4.10 	-0.93 	-17.82% 	146 	1,571 	10.45%
SPY250912P00642000 	8/26/2025 4:13 PM 	642 	4.38 	4.34 	4.37 	-1.10 	-20.07% 	296 	2,024 	10.20%
SPY250912P00643000 	8/26/2025 4:14 PM 	643 	4.66 	4.64 	4.67 	-1.33 	-22.20% 	359 	1,968 	9.96%
SPY250912P00644000 	8/26/2025 4:14 PM 	644 	4.99 	4.96 	4.99 	-1.24 	-19.90% 	638 	1,672 	9.72%
