,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type,Expiration_Date
0,SPY250826C00540000,2025-08-20 14:15:57+00:00,540.0,94.91,104.27,106.98,0.0,0.0,4.0,3.0,1.7109389453125,True,REGULAR,USD,c,2025-08-26
1,SPY250826C00545000,2025-08-22 18:17:49+00:00,545.0,100.82,99.27,101.98,0.0,0.0,1.0,1.0,1.6347674511718748,True,REGULAR,USD,c,2025-08-26
2,SPY250826C00550000,2025-08-22 18:17:49+00:00,550.0,95.78,94.27,96.98,0.0,0.0,31.0,12.0,1.5595725146484374,True,REGULAR,USD,c,2025-08-26
3,SPY250826C00560000,2025-08-15 19:52:21+00:00,560.0,83.42,84.27,86.98,-0.7799988,-0.92636436,7.0,5.0,1.408206083984375,True,REGULAR,USD,c,2025-08-26
4,SPY250826C00575000,2025-08-26 17:54:23+00:00,575.0,67.69,69.27,71.95,6.510002,10.640737,13.0,1.0,1.1767619287109374,True,REGULAR,USD,c,2025-08-26
5,SPY250826C00585000,2025-08-26 17:23:10+00:00,585.0,58.2,59.27,61.95,-0.9599991,-1.6227165,13.0,3.0,1.0283251708984378,True,REGULAR,USD,c,2025-08-26
6,SPY250826C00590000,2025-08-26 17:56:49+00:00,590.0,52.76,54.27,56.95,-2.3700027,-4.298935,4.0,21.0,0.9536137451171874,True,REGULAR,USD,c,2025-08-26
7,SPY250826C00595000,2025-08-25 13:41:28+00:00,595.0,46.69,49.27,51.95,-2.4500008,-4.9857564,1.0,1.0,0.8789074609374999,True,REGULAR,USD,c,2025-08-26
8,SPY250826C00600000,2025-08-26 19:20:25+00:00,600.0,43.81,44.27,46.95,-0.049999237,-0.11399735,18.0,42.0,0.8037129003906249,True,REGULAR,USD,c,2025-08-26
9,SPY250826C00605000,2025-08-26 19:46:03+00:00,605.0,39.12,39.27,41.98,1.0900002,2.8661587,12.0,9.0,0.7329128271484374,True,REGULAR,USD,c,2025-08-26
10,SPY250826C00608000,2025-08-26 19:02:27+00:00,608.0,35.88,36.27,38.98,-1.7799988,-4.726497,1.0,1.0,0.6870148486328126,True,REGULAR,USD,c,2025-08-26
11,SPY250826C00609000,2025-08-26 19:13:54+00:00,609.0,34.9,35.27,37.98,-0.61999893,-1.7454925,55.0,35.0,0.6718782812500002,True,REGULAR,USD,c,2025-08-26
12,SPY250826C00610000,2025-08-26 19:44:56+00:00,610.0,35.01,34.27,36.98,2.0199966,6.123057,10.0,13.0,0.6562534375000001,True,REGULAR,USD,c,2025-08-26
13,SPY250826C00611000,2025-08-26 16:14:51+00:00,611.0,33.74,33.27,35.98,-0.30999756,-0.9104187,8.0,21.0,0.64062859375,True,REGULAR,USD,c,2025-08-26
14,SPY250826C00612000,2025-08-25 16:57:51+00:00,612.0,33.15,32.27,34.98,0.0,0.0,1.0,1.0,0.6254920263671876,True,REGULAR,USD,c,2025-08-26
15,SPY250826C00613000,2025-08-26 19:15:14+00:00,613.0,30.9,31.27,33.98,-0.7200012,-2.2770436,25.0,6.0,0.6098671826171876,True,REGULAR,USD,c,2025-08-26
